filename,center_x_mm,center_y_mm,semi_axes_a_mm,semi_axes_b_mm,angle_rad
000_HC.png,94.38517917761493,64.96099321605803,54.73403672078944,40.81854101102089,3.087901195484924
001_HC.png,30.255755198768156,21.357665760005375,12.536395450472856,10.269675725452133,3.135496278380438
002_HC.png,60.38104068055502,42.02270744099644,38.513152793139106,28.71379370740774,0.03409645143628449
003_HC.png,34.81694923670671,27.27517219997747,30.788507215323516,22.792442836866677,3.0654135963983493
004_HC.png,81.669183935432,57.966749685136996,59.00913571021076,43.35806349735477,0.010463693080975832
005_HC.png,49.30168946911375,28.571940178215044,30.091928572055746,23.153794636800484,3.065042085426283
006_HC.png,55.50458716548322,35.751725591933365,37.10268053036252,27.973644027269184,3.13681787207139
007_HC.png,58.03751509846122,38.99840547922854,35.59513291742217,28.091337370992495,0.10681339921062556
008_HC.png,49.780241743295925,40.10151705978161,16.804234919833426,12.27132166655927,0.24188147284839231
009_HC.png,149.52000523150315,102.33478394107034,69.04774349912374,46.80144329956821,0.006265619096629424
010_HC.png,44.44580276407556,31.004441589079686,31.379596477208658,23.63218326841376,3.119050193384763
011_HC.png,52.326972076238405,38.03883080594841,33.019353340502654,25.14163143690472,3.1288379761810767
012_HC.png,100.15960234383341,88.0376325028357,35.16931247743476,29.244968755416586,0.47610768914335183
013_HC.png,42.928065452816476,35.15366511393643,29.63206155631614,22.92552633533253,0.058944010722832785
014_HC.png,53.83701919531051,45.1194214592876,14.977707961723237,12.254856933399424,2.167363985206658
015_HC.png,82.21207937103252,63.54542204549634,43.783602486717704,34.31247078634748,3.1227684988987314
016_HC.png,50.22655763070202,22.451892991716143,12.677305678708056,10.332886080547345,2.5386097730071673
017_HC.png,48.8342348275477,38.15124097543518,31.767132305082743,25.999519955013326,2.783222117816354
018_HC.png,60.52443865011359,37.149901465218235,48.64377643729076,35.86444383123301,3.113074326214734
019_HC.png,43.18722061629492,21.388876660944167,22.116432263997233,17.079934379099132,0.036027642700755445
020_HC.png,17.390134664441277,14.750808476345977,13.461517708122491,10.974271347034325,0.15130643206841587
021_HC.png,23.70847208700289,17.319145778061955,13.858054697209946,11.280987710032411,3.07058359102252
022_HC.png,47.447977660853546,33.0764733158214,32.93982880311995,26.61394009491831,0.07524548607131681
023_HC.png,44.860635462142085,29.33105740008614,31.443693921863783,25.18956440353511,3.0709211466906874
024_HC.png,51.53196497359797,38.65445685933812,32.19015930106786,22.014165585615558,3.129779936258638
025_HC.png,47.67856167026021,36.3604983071343,32.114002426924614,25.06705212672496,2.933568213995687
026_HC.png,49.40763002702896,22.928759029284507,14.804810816481993,12.30604876460834,0.2800724013026191
027_HC.png,81.43217627404631,45.74418135506077,34.612931695520025,24.65892744166411,0.5236287361605623
028_HC.png,57.31392538796788,31.56171552098634,30.236094596388156,25.44709122446105,3.083638007211925
029_HC.png,47.15979030343028,32.597017604607274,31.74363432840215,24.549466659751815,0.04045288432608561
030_HC.png,39.73936887213993,34.02552945612691,19.09181170680515,14.056736076433848,0.09144296497923324
031_HC.png,39.54360283187306,26.390980705838516,29.77515610469131,22.9703012269182,3.1271049241017077
